slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,https://history.laumeiersculpturepark.org,505.0,0.015841584158415842,0.1782178217821782,0,6,11,1005.521484375,83.85836407181442,18,3,1,101.00450648056271,820
2,http://www.mondriaan.nl/en,4.0,0.75,0.25,0,0,0,0.701171875,0.0,0,1,1,0.0,120
3,https://www.artculturefestival.in/,1454.0,0.3425034387895461,0.07771664374140302,2,63,162,2709.7412109375,92.18441134866791,110,11,1,17.423096490287673,2125
4,http://ccrtindia.gov.in/,294.0,0.2585034013605442,1.989795918367347,0,92,115,2740.5595703125,98.29421526240827,79,19,1,66.9391578923922,2701
5,http://www.abhivyakti-hindi.org/,792.0,0.021464646464646464,0.020202020202020204,0,101,75,272.4462890625,62.31840421528039,20,12,1,30.52653855455939,3228
6,http://bharatdiscovery.org,1430.0,0.05454545454545454,0.06503496503496503,1,52,602,450.3388671875,54.07733325815846,26,15,1,25.2772649319841,2293
7,http://artlog.com/,134.0,0.5970149253731343,0.13432835820895522,0,21,34,8712.466796875,99.54845371317099,34,11,1,33.93193717538959,2829
8,https://www.internationalartist.com/,567.0,0.10758377425044091,0.06878306878306878,0,17,80,3034.2978515625,94.51575912235153,55,10,1,29.710555337309316,2724
9,https://art21.org/,360.0,0.23333333333333334,0.03611111111111111,0,43,106,160.7236328125,94.66888644497239,27,10,1,52.91383377435835,1655
10,https://www.artrenewal.org,5532.0,0.02566883586406363,0.047903109182935645,3,77,1069,1663.3544921875,89.70459849407759,523,8,1,35.399810198431965,2030
11,https://2017.stateofeuropeantech.com/,110.0,0.05454545454545454,0.42727272727272725,0,0,38,693.6572265625,45.47187475802648,34,5,1,59.89587753773271,1752
12,https://disruptionmag.com/,156.0,0.10897435897435898,0.33974358974358976,0,5,28,2627.7197265625,98.61902753285752,22,2,1,0.0,84
13,https://archive.india.gov.in/business/,154.0,0.0,0.12987012987012986,0,277,25,246.8115234375,77.95160939323797,129,10,1,82.84540568188672,3019
14,http://www.eex.dcmsme.gov.in/,145.0,0.013793103448275862,0.0896551724137931,1,4,3,75.169921875,97.39782264141138,3,4,1,25.137504854534264,1902
16,http://dirtexmah.gov.in/,223.0,0.14349775784753363,0.23766816143497757,0,16,90,44849.4775390625,99.41540785350477,43,6,1,33.08700590236892,2174
17,https://worldbusiness.org/,831.0,0.19374247894103488,0.12274368231046931,1,27,88,457.12109375,80.27075873973493,53,9,1,37.68664539715095,1864
18,https://www.worldbusinessculture.com/,801.0,0.12484394506866417,0.09987515605493133,1,23,194,1463.8681640625,80.71875869328973,48,14,1,30.465643976782395,2971
19,https://business.sprint.com/,1001.0,0.1258741258741259,0.07492507492507493,1,60,546,1260.3154296875,85.86035706896912,109,7,1,51.482761138181424,1763
20,http://minimums.com,143.0,0.4825174825174825,0.3916083916083916,1,6,40,4263.4072265625,98.59159833329096,53,21,1,46.576512475804606,3230
21,https://seeing-theory.brown.edu/,273.0,0.10989010989010989,0.03296703296703297,0,15,52,2845.0478515625,98.36891061737278,41,8,1,42.364694672264775,1712
22,https://tour.stevens.edu/,0.0,0.0,0.0,0,0,0,77.880859375,0.7510971786833855,6,1,1,52.13098886458993,1
23,http://cbse.gov.in/,17.0,0.5294117647058824,0.11764705882352941,0,0,2,3.7041015625,0.0,0,3,1,68.14252303337399,722
24,http://edudel.gov.in,154.0,0.12337662337662338,0.22077922077922077,1,103,41,167.4130859375,89.3234012518156,32,6,1,57.20433795900684,1984
25,https://hindividya.com/,1154.0,0.134315424610052,0.08838821490467938,1,34,102,741.05859375,74.35757547005709,74,4,1,7.970114384860032,352
26,https://www.amarujala.com/education,738.0,0.6544715447154471,0.18157181571815717,1,32,210,295.779296875,80.98343227306044,91,11,1,12.533527409339358,1978
27,https://academicearth.org/,661.0,0.0680786686838124,0.18608169440242056,0,2,74,537.865234375,94.04238399052969,45,6,1,70.14850184299812,1692
28,https://www.edmentuminternational.com/,212.0,0.18867924528301888,0.09905660377358491,0,81,58,1377.259765625,50.315532569342714,57,6,1,51.503245685654356,1413
29,https://www.funbrain.com/,227.0,0.0881057268722467,0.4669603524229075,1,0,57,3011.9453125,98.22720858871836,60,12,1,56.72991038164034,2524
30,https://www.tcd.ie/,1089.0,0.07529843893480258,0.07988980716253444,0,24,192,1953.7744140625,86.74835617157295,80,15,1,41.38230236415161,2722
31,https://www.epicurious.com/,1120.0,0.22767857142857142,0.14821428571428572,1,20,155,1027.255859375,84.06184939776216,116,5,1,32.15718316350554,1861
32,https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,383.0,0.15404699738903394,0.24804177545691905,0,16,49,1045.462890625,81.86779928896627,47,4,1,11.848621273896606,1580
33,https://wbpds.gov.in/,484.0,0.2665289256198347,0.27892561983471076,2,16,94,4500.86328125,89.98199998090644,45,20,1,83.33673292232129,2834
34,http://mdmodisha.nic.in/,560.0,0.033928571428571426,0.2982142857142857,1,186,76,1627.8037109375,96.26095840649937,54,22,1,103.26879326987579,3300
35,https://khabarlahariya.org/,1262.0,0.43898573692551507,0.061014263074484945,1,22,313,157.30859375,85.9551538327829,41,11,1,46.4431067941372,1705
36,https://www.swatirecipe.com/,14.0,0.0,0.0,0,0,1,4.2041015625,0.0,1,3,1,15.97925324485858,847
37,https://www.geniuskitchen.com/,384.0,0.4010416666666667,0.3203125,1,16,119,814.84375,94.6474113135187,156,14,1,69.58700817601853,3204
38,https://www.consumersinternational.org/,432.0,0.07175925925925926,0.09722222222222222,0,9,73,1651.4130859375,95.51538189062752,25,14,1,88.59464953610615,3004
39,http://www.internationalfood4u.com/,443.0,0.255079006772009,0.6297968397291196,0,2,560,839.6259765625,83.79079691594448,70,6,1,28.17137632959904,1070
40,https://www.foodandwine.com,712.0,0.526685393258427,0.15589887640449437,1,0,313,90.8359375,0.4515352197471403,110,14,1,42.4892245498476,2354
41,https://dataafrica.io/,45.0,0.37777777777777777,0.35555555555555557,0,0,23,10282.9736328125,99.53231624827335,15,12,1,40.94091794443572,3563
42,https://www.nasa.gov/,263.0,0.0076045627376425855,0.20912547528517111,0,0,90,15025.2744140625,96.41037780027025,48,8,1,60.30208744117838,1841
43,https://presidentofindia.gov.in/,588.0,0.7125850340136054,0.10204081632653061,0,5,64,2275.1533203125,93.74179367204391,46,22,1,55.917135690098235,3058
