,slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,rating
54,58,https://www.health.com/,1017.0,0.7935103244837758,15.634218289085547,0,0,339,109.5751953125,0.0,137,4,0,18.06961404905937,776,4.695652173913044
55,59,https://www.worldhealthinnovationsummit.com/,600.0,0.05666666666666665,13.333333333333336,2,55,29,2436.2275390625,52.98739686623265,137,14,0,35.696380114074444,490,4.086956521739131
56,60,https://kidshealth.org/,108.0,0.0925925925925926,5.5555555555555545,0,10,62,929.1943359375,90.30178823850888,35,8,0,59.273171920513214,1242,4.173913043478262
57,61,https://www.starwars.com/,450.0,0.7688888888888888,60.444444444444436,0,24,85,220.677734375,76.3503765919973,75,12,0,19.315980428339262,2156,5.565217391304348
58,63,http://www.allindiaradio.gov.in,11.0,0.18181818181818185,18.181818181818183,0,1,0,0.48046875,0.0,0,1,0,5.918430108960331,126,3.217391304347826
59,64,https://www.cfsindia.org/,397.0,0.455919395465995,15.113350125944585,0,7,52,2208.3369140625,85.50048046797096,58,14,0,85.12300525352066,1864,4.434782608695652
60,65,http://kavitakosh.org/,6720.0,0.013839285714285714,0.3422619047619048,1,12,2892,962.4951171875,59.84790913103252,36,12,0,58.3780774495417,1600,3.4347826086956523
61,66,https://www.bhaskar.com/bollywood,815.0,0.2184049079754601,4.9079754601227,1,4,207,477.625,71.85005561371368,106,17,0,66.05709893830074,3208,3.782608695652174
62,67,https://www.inoxmovies.com/,478.0,0.0062761506276150635,30.962343096234303,12,6,188,267.888671875,77.78782289168045,97,14,0,58.78887117725883,2253,4.956521739130435
63,68,https://www.cartoonbrew.com/,682.0,0.3343108504398827,14.956011730205278,0,25,89,923.1455078125,67.3859437364395,74,10,0,27.545313420713164,2459,4.608695652173913
64,69,https://www.hollywoodawards.com/,160.0,0.84375,10.625,0,4,36,3884.08984375,98.28585063062755,63,10,0,33.4967980928918,2173,5.086956521739131
65,70,https://www.oscars.org/,166.0,0.060240963855421686,53.61445783132529,0,389,68,10020.9091796875,59.540914987227396,38,9,0,76.19046675726489,2281,5.304347826086956
66,71,https://www.factcheck.org/,836.0,0.2368421052631579,10.287081339712918,2,23,92,285.591796875,85.49851938477529,78,13,0,46.187053547568595,1770,4.782608695652174
67,72,https://www.pbs.org/newshour/,1098.0,0.04735883424408015,10.10928961748634,0,116,259,200.375,76.18430286961946,115,7,0,43.14029282517059,1502,4.869565217391305
68,73,http://www.pib.nic.in/,431.0,0.09976798143851508,18.097447795823665,0,3,105,64.3203125,3.9611927608405204,97,15,0,103.18018851175205,1971,4.863636363636363
69,74,http://www.newsonair.nic.in/,818.0,0.07701711491442542,20.41564792176039,3,25,140,3387.287109375,94.80139146198648,76,12,0,85.61458598350023,2097,4.739130434782608
70,75,https://aajtak.intoday.in/,2525.0,0.12316831683168315,8.633663366336632,3,147,479,290.443359375,73.30152581922842,190,13,0,85.55739179535962,2126,3.9130434782608696
71,76,https://www.dprmp.org/,573.0,0.0,14.659685863874344,1,219,90,373.9404296875,82.21903033310265,39,10,0,42.56120283871047,1649,2.6956521739130435
72,77,https://www.news18.com/,2906.0,0.10151410874053682,13.489332415691669,1,36,405,548.6455078125,72.55884075306196,243,10,0,54.74388384983325,2043,4.608695652173913
73,79,https://in.reuters.com/,1556.0,0.4460154241645245,11.825192802056556,2,48,198,183.2841796875,65.73211212523243,129,10,0,47.51145501611593,1866,4.565217391304348
74,80,https://www.bbc.com,1275.0,0.3811764705882353,11.686274509803926,0,30,280,1261.32421875,83.7949327808386,152,15,0,41.57380500652248,1810,4.869565217391305
75,81,https://solarsystem.nasa.gov/,436.0,0.14220183486238533,36.92660550458715,0,21,206,6593.8916015625,69.32937607234442,73,4,0,24.847678435327698,1638,6.391304347826088
76,82,http://vis.sciencemag.org/space-graveyard/,410.0,0.02926829268292683,10.24390243902439,0,39,28,3176.1396484375,45.27920742031881,82,18,0,25.43401805548244,1530,5.869565217391305
77,83,http://www.kscste.kerala.gov.in/,591.0,0.032148900169204735,19.289340101522843,6,23,338,1975.4287109375,64.99390213457423,67,15,0,33.927991526605894,1664,3.6666666666666665
78,84,https://vigyanvishwa.in/,2572.0,0.11897356143079316,11.625194401244169,2,58,315,189.228515625,32.05501367600764,114,6,0,15.835117833736675,940,3.333333333333333
79,86,https://techsandesh.com/,1434.0,1.3570432357043236,13.319386331938635,0,18,211,1011.662109375,58.52557382556168,138,12,0,43.93636676509177,1989,3.4166666666666665
80,87,http://www.cstep.in/,91.0,0.38461538461538464,39.56043956043956,1,8,36,393.826171875,89.07949355035484,24,10,0,25.398968302573824,1980,3.9583333333333335
81,88,https://www.thetech.org/,1152.0,0.043402777777777776,7.638888888888888,0,11,225,3257.6689453125,95.74447675002466,80,6,0,25.822826985898324,1738,5.375
82,89,https://www.scienceeurope.org/,398.0,0.037688442211055266,8.793969849246231,0,14,90,358.275390625,61.72691441748393,32,6,0,57.67779125390014,1915,4.5
83,90,https://www.worldsciencefestival.com/,435.0,0.0528735632183908,24.13793103448276,2,13,132,278.4814453125,57.4130766398401,88,6,0,92.23531941288105,1927,4.958333333333333
84,91,https://www.theplayerstribune.com/global,366.0,0.046448087431693985,22.950819672131143,0,11,51,447.5947265625,33.71034849903019,88,4,0,0.0,587,5.708333333333332
85,92,https://www.bleacherreport.com/,1141.0,1.01840490797546,11.218229623137601,1,39,166,371.9609375,60.10296990191343,186,6,0,33.37643748412498,1226,4.833333333333333
86,93,http://www.sportsgoodsindia.org/,241.0,0.0,14.937759336099587,0,166,47,247.75390625,94.56602286164758,56,6,0,35.74860596450301,1534,3.6666666666666665
87,94,http://sportsauthorityofindia.nic.in/,277.0,0.02527075812274368,28.519855595667874,1,2,89,4716.220703125,57.166879598128965,89,8,0,36.103916955485495,1661,3.5416666666666665
88,95,https://naidunia.jagran.com/sports,966.0,0.010351966873706004,23.91304347826087,0,11,140,483.1669921875,86.89231005552152,73,10,0,54.28919319654659,1938,4.0
89,96,https://sportshindi.com/,923.0,0.7973997833152763,5.092091007583965,1,11,146,1318.916015625,73.65623403451876,72,21,0,44.24929592402388,2167,3.0
90,97,https://www.foxsportsasia.com/,811.0,0.5166461159062885,30.579531442663374,1,120,196,1967.6005859375,91.04293528513423,154,11,0,52.598934842083594,2042,5.125
91,98,http://www.espn.in/,2455.0,0.3584521384928717,19.59266802443992,1,60,606,149.1083984375,62.770897325902006,268,9,0,30.777323021079997,2016,5.416666666666668
92,99,https://www.skysports.com,534.0,0.451310861423221,8.801498127340825,0,3,243,1076.4228515625,89.8784947612036,104,14,0,55.940515588538275,2505,5.166666666666667
93,100,https://www.uefa.com,988.0,0.2742914979757085,27.12550607287449,0,3,199,294.8134765625,92.7718466058717,96,8,0,24.43724369283139,2560,5.333333333333333
