slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
51,https://www.spectrumnews.org/,613.0,0.7797716150081566,,0,44,252,1037.9072265625,77.83738875083857,89,2,0,0.0,1
52,https://www.self.com/,745.0,0.02953020134228188,,1,6,83,1699.0849609375,38.89886732461119,107,11,1,100.55206933575047,1851
53,https://cghs.gov.in/,2478.0,0.0,,2,4,161,4003.359375,95.57407841070976,235,19,0,66.78222810363906,3524
54,http://www.pci.nic.in/,1422.0,0.02461322081575246,,2,4,228,6814.904296875,93.90733946820947,153,10,2,29.430684441378666,2576
55,https://khabarlahariya.org/,1273.0,0.4304791830322074,,1,23,311,157.7041015625,85.75382843413483,41,11,0,44.906156626915205,1659
56,https://bharatswasthya.net/,244.0,0.04918032786885246,,0,14,50,1301.671875,95.7464558800581,64,20,0,47.94423505903875,2729
57,https://www.who.int/,230.0,0.08260869565217391,,1,30,560,4742.9150390625,98.14085359639017,100,12,0,71.3006926995927,2464
58,https://www.health.com/,1109.0,0.7862939585211902,,0,0,353,709.2802734375,74.84190482484583,105,10,0,62.37686504669566,2153
59,https://www.worldhealthinnovationsummit.com/,596.0,0.06040268456375839,,4,54,69,3215.7451171875,64.20238189596294,176,15,0,48.3900326413001,2269
60,https://kidshealth.org/,108.0,0.09259259259259259,,0,10,62,886.2412109375,94.655491779163,34,13,0,62.743467547436765,1905
61,https://www.starwars.com/,436.0,0.7981651376146789,,0,22,84,150.76953125,70.31440267378294,61,10,0,23.247578525066693,2416
62,http://oscars.mpaa.org/,291.0,0.21993127147766323,,0,100,47,4816.4384765625,98.9161670248354,46,4,0,39.269063085245904,1242
63,http://www.allindiaradio.gov.in,278.0,0.0,,2,213,103,1218.744140625,95.36520207629204,97,17,3,78.08601502143654,2692
64,https://www.cfsindia.org/,356.0,0.5,,0,7,51,2363.7685546875,86.53905661601182,57,17,0,98.98510745202981,2727
65,http://kavitakosh.org/,6720.0,0.013839285714285714,,1,12,2892,966.837890625,59.55717030186598,36,16,8,66.11594710521537,2381
66,https://www.bhaskar.com/bollywood,3491.0,0.06846175880836436,,1,34,553,587.5244140625,70.56754622896322,248,9,0,80.91360710942918,2297
67,https://www.inoxmovies.com/,366.0,0.00819672131147541,,12,1,163,264.4873046875,79.24308158103642,91,15,8,45.282281324772526,2577
68,https://www.cartoonbrew.com/,630.0,0.35714285714285715,,0,27,90,861.2041015625,67.24641756806253,70,7,0,43.04734153154745,2779
69,https://www.hollywoodawards.com/,168.0,0.8511904761904762,,0,4,36,3878.728515625,98.32915304779826,64,13,0,34.51960082927834,3269
70,https://www.oscars.org/,180.0,0.03333333333333333,,0,2,54,11918.3857421875,65.9968223006291,30,3,0,2.226025608398744,871
71,https://www.factcheck.org/,736.0,0.2595108695652174,,2,22,92,291.4287109375,86.96012036605758,78,7,0,51.18140011570843,2613
72,https://www.pbs.org/newshour/,1166.0,0.04202401372212693,,0,123,257,207.056640625,73.60936866233386,114,4,0,32.889187470108034,1918
73,http://www.pib.nic.in/,440.0,0.09772727272727273,,0,3,92,1526.931640625,92.2337101187149,97,9,0,30.54701478352685,1990
74,http://www.newsonair.nic.in/,773.0,0.0815006468305304,,3,25,140,3382.458984375,94.9210050241971,76,13,2,89.45200068426678,3005
75,https://aajtak.intoday.in/,2550.0,0.12156862745098039,,3,147,468,89.8017578125,46.23356568831084,186,11,0,59.26560170128866,2300
76,https://www.dprmp.org/,691.0,0.0,,1,219,90,179.2939453125,64.54027026585402,38,8,1,44.999502618679045,2486
77,https://www.news18.com/,2789.0,0.11079239870921477,,1,36,404,567.7783203125,73.87638565199818,254,20,0,72.6229425914466,3325
79,https://in.reuters.com/,1514.0,0.4709379128137384,,0,45,202,121.94921875,51.213203497869884,126,10,0,13.722329316848548,2200
80,https://www.bbc.com,1434.0,0.35704323570432356,,0,33,293,1169.966796875,81.77991496152902,156,14,0,24.551040683818556,2795
81,https://solarsystem.nasa.gov/,426.0,0.16901408450704225,,0,21,205,7994.6279296875,61.144000628351634,78,4,1,26.799596195827153,1693
82,http://vis.sciencemag.org/space-graveyard/,410.0,0.02926829268292683,,0,39,28,2567.6337890625,57.30409769756247,82,18,0,27.36873603131218,1999
83,http://www.kscste.kerala.gov.in/,580.0,0.032758620689655175,,6,26,337,1913.2802734375,64.20440190098097,64,15,0,37.21854430732571,2226
84,https://vigyanvishwa.in/,1549.0,0.10845706907682376,,2,44,248,109.0771484375,55.38922959846009,106,10,1,28.191736940058913,2144
85,https://www.vigyanspace.in/,0.0,0.0,,0,0,0,0.0,0.0,0,1,-1,0.0,1
86,https://techsandesh.com/,1424.0,1.3665730337078652,,0,18,210,1018.2900390625,58.96604007369125,138,17,0,50.587109681297086,3023
87,http://www.cstep.in/,112.0,0.3125,,1,8,36,1776.265625,85.54595754787519,24,22,0,46.10048582995416,2707
88,https://www.thetech.org/,1126.0,0.04440497335701599,,0,11,227,3256.74609375,95.79268753440874,79,8,0,26.498190935791445,2787
89,https://www.scienceeurope.org/,391.0,0.03836317135549872,,0,13,89,356.7431640625,61.93591656287212,31,12,0,73.99129693120297,2590
90,https://www.worldsciencefestival.com/,362.0,0.06353591160220995,,2,13,130,275.376953125,58.011390636414575,85,7,2,94.60768509430915,3022
91,https://www.theplayerstribune.com/global,357.0,0.047619047619047616,,0,11,51,437.150390625,32.65980403983541,83,4,1,0.0,689
92,https://www.bleacherreport.com/,1127.0,1.2120674356699201,,0,18,191,789.453125,81.27214250371104,215,12,0,85.57241924014272,2390
93,http://www.sportsgoodsindia.org/,241.0,0.0,,0,166,47,254.3916015625,94.70742465364285,58,8,0,46.00394587763552,2613
94,http://sportsauthorityofindia.nic.in/,181.0,0.03867403314917127,,1,2,85,4934.7919921875,59.08929086304652,84,8,1,36.38584456130616,1964
95,https://naidunia.jagran.com/sports,914.0,0.010940919037199124,,0,11,140,610.5224609375,93.43383852521293,76,9,0,42.747871027195536,2395
96,https://sportshindi.com/,934.0,0.7944325481798715,,0,11,146,1320.9130859375,74.77604492039494,71,21,0,46.6646415574307,3401
97,https://www.foxsportsasia.com/,680.0,0.47794117647058826,,0,120,171,1868.47265625,90.9695000721261,144,15,0,49.017550189899254,3125
98,http://www.espn.in/,2246.0,0.358860195903829,,1,61,354,158.337890625,59.03242916527896,218,7,0,12.613685990986689,1933
99,https://www.skysports.com,657.0,0.3713850837138508,,0,6,244,1022.158203125,94.41324556458932,98,4,0,29.912787340975175,1646
100,https://www.uefa.com,916.0,0.2423580786026201,,0,3,197,332.078125,93.67089352091469,89,7,0,31.831894186206586,2725
