slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
51,https://www.spectrumnews.org/,581.0,0.76592082616179,,0,43,246,1091.77734375,79.16027120342045,89,2,0,0.0,1
53,https://cghs.gov.in/,2570.0,0.0,,2,4,165,4005.3759765625,95.49594600030964,239,18,0,69.42558582569147,3499
54,http://www.pci.nic.in/,1422.0,0.02461322081575246,,2,4,228,6814.904296875,93.90733946820947,153,10,2,29.414149138239406,2571
55,https://khabarlahariya.org/,1204.0,0.4318936877076412,,1,21,313,157.498046875,85.8654001165689,42,11,0,43.82148422344919,1662
56,https://bharatswasthya.net/,244.0,0.04918032786885246,,0,14,50,1302.1298828125,95.74675205361409,64,20,0,47.94423505903875,2729
57,https://www.who.int/,215.0,0.08837209302325581,,1,31,560,4943.720703125,98.24840934186952,100,20,0,72.14261732399176,2675
58,https://www.health.com/,1115.0,0.7856502242152467,,0,0,354,699.8515625,76.94921356091136,103,8,0,75.84205920664705,2119
59,https://www.worldhealthinnovationsummit.com/,596.0,0.05704697986577181,,2,54,29,2799.0927734375,57.962069881040556,136,19,0,44.10029537079217,1911
60,https://kidshealth.org/,108.0,0.09259259259259259,,0,10,62,886.240234375,94.65548588996265,34,13,0,62.743490382286275,1905
61,https://www.starwars.com/,459.0,0.7429193899782135,,0,25,88,221.755859375,75.90651670351157,76,13,0,27.49943623316716,2328
62,http://oscars.mpaa.org/,291.0,0.21993127147766323,,0,100,47,4816.4384765625,98.9161670248354,46,4,0,39.269063085245904,1242
63,http://www.allindiaradio.gov.in,11.0,0.18181818181818182,,0,1,0,0.48046875,0.0,0,1,-1,0.0,184
64,https://www.cfsindia.org/,356.0,0.5,,0,7,51,2363.767578125,86.53905105478295,57,17,0,98.94183509699309,2727
65,http://kavitakosh.org/,6720.0,0.013839285714285714,,1,12,2892,960.380859375,59.96817262031868,36,16,8,66.11594710521537,2381
66,https://www.bhaskar.com/bollywood,2024.0,0.11709486166007906,,4,34,511,508.5947265625,67.69149828821374,206,18,1,54.819956783735215,3129
67,https://www.inoxmovies.com/,403.0,0.007444168734491315,,12,1,163,267.7646484375,79.26044253823065,88,10,8,37.33705044809207,1919
68,https://www.cartoonbrew.com/,644.0,0.36801242236024845,,0,27,90,821.595703125,65.64754657595142,70,7,0,31.431366219871375,2527
69,https://www.hollywoodawards.com/,168.0,0.8511904761904762,,0,4,36,3879.08984375,98.32883035747552,64,4,0,13.755275542436829,1550
70,https://www.oscars.org/,167.0,0.03592814371257485,,0,2,53,10013.103515625,59.52768140341104,30,3,0,2.146538266668609,866
71,https://www.factcheck.org/,760.0,0.25921052631578945,,2,22,92,291.4560546875,86.94492563268342,78,8,0,51.62902362635006,2658
72,https://www.pbs.org/newshour/,1142.0,0.040280210157618214,,0,128,248,208.6689453125,76.57492383363675,113,5,0,28.426172119614915,2296
73,http://www.pib.nic.in/,439.0,0.0979498861047836,,0,3,91,1517.203125,93.71318266547203,97,9,0,30.590908015075318,1985
74,http://www.newsonair.nic.in/,745.0,0.08456375838926175,,3,25,140,3897.47265625,89.43400821646239,76,15,2,89.82776146258885,3017
75,https://aajtak.intoday.in/,2460.0,0.12235772357723577,,3,144,468,113.6123046875,51.73501577287066,186,9,0,62.609787919374355,2255
76,https://www.dprmp.org/,692.0,0.0,,1,219,90,446.30078125,84.6408847032463,44,10,1,44.839929991876815,2262
77,https://www.news18.com/,2812.0,0.10988620199146515,,1,17,390,586.26171875,68.44679277466469,235,16,0,67.32359438472038,3392
78,https://www.independent.co.uk/,2049.0,0.18496827720839434,,0,73,687,93.609375,0.18882490402270072,136,10,0,25.40701740890108,2810
80,https://www.bbc.com,1434.0,0.36541143654114366,,0,33,293,1226.431640625,82.6975967181212,156,15,0,31.387768630760164,2640
81,https://solarsystem.nasa.gov/,441.0,0.16326530612244897,,0,21,206,5166.015625,94.63187145557656,79,4,1,26.05725401023194,1349
82,http://vis.sciencemag.org/space-graveyard/,408.0,0.029411764705882353,,0,39,28,2567.892578125,57.30532013042674,82,18,0,27.095024934916264,1927
83,http://www.kscste.kerala.gov.in/,563.0,0.03374777975133215,,6,23,337,1935.0947265625,64.60868507628169,65,15,0,37.21101200329071,2238
84,https://vigyanvishwa.in/,1444.0,0.11357340720221606,,2,44,250,34.2412109375,0.0,103,10,1,52.51635611307609,2262
85,https://www.vigyanspace.in/,0.0,0.0,,0,0,0,0.0,0.0,0,1,-1,0.0,1
86,https://techsandesh.com/,1421.0,1.3694581280788178,,0,18,210,1018.3037109375,58.97723600158428,138,17,0,50.587109681297086,3023
87,http://www.cstep.in/,115.0,0.30434782608695654,,1,8,37,1762.9873046875,85.4370937999744,22,3,0,11.465895775461536,707
88,https://www.thetech.org/,1152.0,0.043402777777777776,,0,11,227,3266.7841796875,95.80406117804476,79,8,0,26.476944000879023,2794
89,https://www.scienceeurope.org/,391.0,0.03836317135549872,,0,13,89,357.3583984375,61.8421304330004,33,11,0,74.15653020193115,2595
90,https://www.worldsciencefestival.com/,362.0,0.06353591160220995,,2,13,130,275.7080078125,57.89108297175241,85,7,2,94.59421362035246,3029
91,https://www.theplayerstribune.com/global,353.0,0.04815864022662889,,0,11,51,437.1943359375,32.65250051933605,79,5,1,0.0,820
92,https://www.bleacherreport.com/,1603.0,0.5988771054273238,,0,58,158,617.6357421875,75.73202373592596,176,7,0,77.74827184550699,2346
93,http://www.sportsgoodsindia.org/,241.0,0.0,,0,166,47,254.3896484375,94.70738401888711,58,8,0,46.00394587763552,2613
94,http://sportsauthorityofindia.nic.in/,200.0,0.035,,1,2,86,5026.6591796875,59.8234141828559,86,8,1,36.02866334942064,1977
95,https://naidunia.jagran.com/sports,944.0,0.01059322033898305,,0,11,140,623.9912109375,91.43711647080366,74,11,0,51.87975494321765,2727
96,https://sportshindi.com/,934.0,0.7933618843683083,,1,11,146,1309.2509765625,73.68194928964782,72,21,0,46.66144284155769,3360
97,https://www.foxsportsasia.com/,725.0,0.5103448275862069,,0,120,164,1813.05078125,91.211452985192,144,11,0,39.20330198861894,2745
98,http://www.espn.in/,2399.0,0.35097957482284287,,0,61,357,164.9521484375,56.61443008448236,256,10,0,20.218513730511905,2406
99,https://www.skysports.com,653.0,0.35834609494640124,,0,6,244,1015.7744140625,95.06553362822585,98,4,0,22.98356990676093,1544
100,https://www.uefa.com,716.0,0.3407821229050279,,0,2,189,162.697265625,88.08297619476357,83,9,0,26.01980989154896,2246
